strain	host	subtype	country	date	HH	NN	PB2	PB1	PA	NP	M	NS
A/AA/Huston/1945	Human	H1N1	USA	1945	CY021709	CY021711	CY021716	CY021715	CY021714	CY021712	CY021710	CY021713
A/AA/Marton/1943	Human	H1N1	USA	1943	CY020285	CY020287	CY020292	CY020291	CY020290	CY020288	CY020286	CY020289
A/Alaska/1935	Human	H1N1	USA	1935	CY019955	CY019957	CY019962	CY019961	CY019960	CY019958	CY019956	CY019959
A/Albany/1/1958	Human	H2N2	USA	1958	CY021813	CY021815	CY021820	CY021819	CY021818	CY021816	CY021814	CY021817
A/Albany/1/1959	Human	H2N2	USA	1959/02/03	CY020541	CY020543	CY020548	CY020547	CY020546	CY020544	CY020542	CY020545
A/Albany/1/1960	Human	H2N2	USA	1960	CY021933	CY021935	CY021940	CY021939	CY021938	CY021936	CY021934	CY021937
A/Albany/1/65	Human	H2N2	USA	1965	AY209970	AY209915	AY209942	AY210016	AY209998	AY210088	AY210047	AY210176
A/Albany/12/1951	Human	H1N1	USA	1951	CY021821	CY021823	CY021828	CY021827	CY021826	CY021824	CY021822	CY021825
A/Albany/13/1951	Human	H1N1	USA	1951	CY022093	CY022095	CY022100	CY022099	CY022098	CY022096	CY022094	CY022097
A/Albany/14/1951	Human	H1N1	USA	1951	CY022021	CY022023	CY022028	CY022027	CY022026	CY022024	CY022022	CY022025
A/Albany/1618/1951	Human	H1N1	USA	1951	CY021901	CY021903	CY021908	CY021907	CY021906	CY021904	CY021902	CY021905
A/Albany/2/1958	Human	H2N2	USA	1958	CY020317	CY020319	CY020324	CY020323	CY020322	CY020320	CY020318	CY020321
A/Albany/20/1957	Human	H2N2	USA	1957	CY022013	CY022015	CY022020	CY022019	CY022018	CY022016	CY022014	CY022017
A/Albany/22/1957	Human	H2N2	USA	1957	CY021805	CY021807	CY021812	CY021811	CY021810	CY021808	CY021806	CY021809
A/Albany/24/1958	Human	H2N2	USA	1958	CY021789	CY021791	CY021796	CY021795	CY021794	CY021792	CY021790	CY021793
A/Albany/26/1957	Human	H2N2	USA	1957/11/12	CY020381	CY020383	CY020388	CY020387	CY020386	CY020384	CY020382	CY020385
A/Albany/3/1958	Human	H2N2	USA	1958	CY021069	CY021071	CY021076	CY021075	CY021074	CY021072	CY021070	CY021073
A/Albany/4/1958	Human	H2N2	USA	1958	CY020373	CY020375	CY020380	CY020379	CY020378	CY020376	CY020374	CY020377
A/Albany/4835/1948	Human	H1N1	USA	1948	CY019947	CY019949	CY019954	CY019953	CY019952	CY019950	CY019948	CY019951
A/Albany/4836/1950	Human	H1N1	USA	1950	CY021701	CY021703	CY021708	CY021707	CY021706	CY021704	CY021702	CY021705
A/Albany/5/1958	Human	H2N2	USA	1958/01/29	CY021013	CY021015	CY021020	CY021019	CY021018	CY021016	CY021014	CY021017
A/Albany/6/58	Human	H2N2	USA	1958	AF270723	AY209899	AY209936	AY210010	AY209992	AY210070	AY210030	AY210157
A/Ann Arbor/23/1957	Human	H2N2	USA	1957	"CY125910, CY031579"	"CY125912, CY031581"	"CY125917, CY031586"	"CY031585, CY125916"	"CY125915, CY031584"	"CY125913, CY031582"	"CY125911, CY031580"	"CY125914, CY031583"
